asset,rule,metric,minimum,maximum
SPY,BUYHOLD,CAGR,0.1041016321104717,0.1073979345669061
SPY,BUYHOLD,Return_Retention,1.0,1.0
SPY,BUYHOLD,annual_vol,0.1850008759562206,0.1857522845078751
SPY,BUYHOLD,ES95_5D,0.0548512477390955,0.059604593453439
SPY,BUYHOLD,MaxDD,0.5542291965138917,0.5542291965138921
SPY,BUYHOLD,average_exposure,1.0,1.0
SPY,CORE_VOL,CAGR,0.0971844094302797,0.0985296693602788
SPY,CORE_VOL,Return_Retention,0.9049001717042924,0.9418557964792176
SPY,CORE_VOL,annual_vol,0.1496032158133672,0.1507118933552079
SPY,CORE_VOL,ES95_5D,0.0436606960309792,0.0488883970773903
SPY,CORE_VOL,MaxDD,0.4343807579897305,0.4480462771493197
SPY,CORE_VOL,average_exposure,0.922287542337618,0.9234804939868972
SPY,MATCH_CORE_VOL,CAGR,0.0982350948871376,0.1014907604086943
SPY,MATCH_CORE_VOL,Return_Retention,0.9436460591020462,0.9449973206464996
SPY,MATCH_CORE_VOL,annual_vol,0.1704575005699784,0.1713825735218079
SPY,MATCH_CORE_VOL,ES95_5D,0.0506114000425623,0.0550207446117351
SPY,MATCH_CORE_VOL,MaxDD,0.5214517806095533,0.5229226293241768
SPY,MATCH_CORE_VOL,average_exposure,0.9222875423378613,0.9234804939860592
SPY,MATCH_VOL,CAGR,0.0922166786100577,0.0954103065874644
SPY,MATCH_VOL,Return_Retention,0.8858331684194758,0.8883812055810656
SPY,MATCH_VOL,annual_vol,0.1559514050972935,0.1570404331286365
SPY,MATCH_VOL,ES95_5D,0.0463717348557664,0.0504357280788943
SPY,MATCH_VOL,MaxDD,0.4868710584450462,0.4897945814540634
SPY,MATCH_VOL,average_exposure,0.8446038130826107,0.8469390209742294
SPY,VOL,CAGR,0.0853490145162743,0.0908145629757404
SPY,VOL,Return_Retention,0.7946988446328467,0.8681062577269775
SPY,VOL,annual_vol,0.1212030875149551,0.1228876937807427
SPY,VOL,ES95_5D,0.0347066244170486,0.0403422782727563
SPY,VOL,MaxDD,0.2923587355091315,0.3253675284976476
SPY,VOL,average_exposure,0.8446038130874894,0.846939020976124
QQQ,BUYHOLD,CAGR,0.1623479147007079,0.1643125278347938
QQQ,BUYHOLD,Return_Retention,1.0,1.0
QQQ,BUYHOLD,annual_vol,0.218540698909539,0.2185900116250541
QQQ,BUYHOLD,ES95_5D,0.0638702144920003,0.0673669467465382
QQQ,BUYHOLD,MaxDD,0.5228014824239073,0.5228014824239098
QQQ,BUYHOLD,average_exposure,1.0,1.0
QQQ,CORE_VOL,CAGR,0.150692575095259,0.1546758765632918
QQQ,CORE_VOL,Return_Retention,0.9210527602983264,0.9489515862985348
QQQ,CORE_VOL,annual_vol,0.1820211608007308,0.1826542269878986
QQQ,CORE_VOL,ES95_5D,0.0520875039559164,0.0573855353792864
QQQ,CORE_VOL,MaxDD,0.4072655221952305,0.4258516177379498
QQQ,CORE_VOL,average_exposure,0.9144012766999808,0.916231402634094
QQQ,MATCH_CORE_VOL,CAGR,0.1510852063616611,0.1528845719159883
QQQ,MATCH_CORE_VOL,Return_Retention,0.9296557047864558,0.9314697627339968
QQQ,MATCH_CORE_VOL,annual_vol,0.1996653748537918,0.2001418417144274
QQQ,MATCH_CORE_VOL,ES95_5D,0.0584516070901339,0.0616671404692232
QQQ,MATCH_CORE_VOL,MaxDD,0.487987740070479,0.4893004643985421
QQQ,MATCH_CORE_VOL,average_exposure,0.91440127669553,0.9162314026308804
QQQ,MATCH_VOL,CAGR,0.1396094337678901,0.141216852914513
QQQ,MATCH_VOL,Return_Retention,0.8579833135531684,0.8614964682651982
QQQ,MATCH_VOL,annual_vol,0.1808375716703188,0.1817094783673286
QQQ,MATCH_VOL,ES95_5D,0.0530349843610616,0.0559691384685823
QQQ,MATCH_VOL,MaxDD,0.4512357499739989,0.4538524068148328
QQQ,MATCH_VOL,average_exposure,0.8288591851022434,0.832405289036788
QQQ,VOL,CAGR,0.1361545647083891,0.1441661932552455
QQQ,VOL,Return_Retention,0.8321770880013643,0.886142765671624
QQQ,VOL,annual_vol,0.1520569483229308,0.1529200205959097
QQQ,VOL,ES95_5D,0.0431787060906314,0.0490522442620317
QQQ,VOL,MaxDD,0.2766668547737146,0.3198646516867777
QQQ,VOL,average_exposure,0.8288591851057474,0.8324052890347656
