asset,first_origin,last_origin,eligible_origins,excluded_prefix,offset0_entry,offset0_exit
SPY,2001-09-19 00:00:00,2026-08-20 00:00:00,6270,346,2001-09-25,2026-08-27
QQQ,2006-06-01 00:00:00,2026-08-20 00:00:00,5087,0,2006-06-06,2026-08-24
