symbol,baseline,MSE,QLIKE
QQQ,GARCH,0.1078665294459215,0.1088865972411369
QQQ,ROLLING22,0.229862607145905,0.2119228463869308
SPY,GARCH,0.1088645089405124,0.120918747101718
SPY,ROLLING22,0.2604086638425379,0.2451263705425245
