symbol,file,sha256,reference_match,start,end,calendar_rows,missing_sessions,invalid_OHLC,mature_target_n,auto_adjust,evidence
SPY,SPY.csv,9e2420a3e5087ce0d4bf64a36783424ab20a2f35d443eceadd503dab7022aed0,True,1993-01-29,2026-08-28,8453,0,0,8447,True,EXPOSED_HISTORY
QQQ,QQQ.csv,a2cb491410db02025fbe3dff9b07a0a20322c09b16f16d8a03b7e07f13d7ee16,True,1999-03-10,2026-08-28,6911,0,0,6905,True,EXPOSED_HISTORY
