cash_mode,offset,cost_bps,period,rule,cycles,high_positive_n,high_negative_n,high_positive_participation,rebound_participation,rebound_n,high_missed_upside,high_downside_avoided,missed_upside_per_downside_avoided,all_positive_participation,all_negative_participation
PROXY,0,0,ALL,VOL,1017,56,43,0.4166167486755689,0.40347260714977284,18,1.1853517958056325,0.8584806029602351,1.3807554785958724,0.7698991676125048,0.7614487534730492
PROXY,0,0,GFC,VOL,151,8,8,0.3077377083222905,0.301658378619731,3,0.19906632848051198,0.3564200747494579,0.5585160393124426,0.6648312261151436,0.6049523252080731
PROXY,0,0,2011,VOL,49,2,0,0.4087985106682277,0.3856579391554429,1,0.06036046662148703,0.0,,0.6959293519134389,0.7674761202295702
PROXY,0,0,2015_2016,VOL,100,3,3,0.45885033216026927,0.4339878085468425,1,0.025840012372555465,0.03264085442016408,0.7916463227320619,0.856277608074355,0.8977074006592124
PROXY,0,0,2018Q4,VOL,11,3,3,0.47948568823754834,0.5600363909172271,1,0.05144533891637477,0.0563227839507884,0.9134019185082317,0.5497559743166432,0.680359389270968
PROXY,0,0,COVID,VOL,18,7,5,0.33435256424810017,0.39737849752915183,3,0.2337440821287968,0.15130136484471585,1.5448907706066886,0.39288280584942487,0.5814101604218488
PROXY,0,0,2022,VOL,49,11,15,0.46548009637369003,0.46170091868180313,3,0.22867123604560818,0.19985458684235968,1.1441880802364488,0.5162092625237747,0.601279955359464
PROXY,0,0,2023_PLUS,VOL,182,10,5,0.45103346235312214,0.32456982391239286,2,0.2031503421825187,0.01769806305864314,11.478676593555639,0.784374155131632,0.8246087484986637
PROXY,0,0,2024_PLUS,VOL,132,9,4,0.4496857990626394,0.32456982391239286,2,0.2007273353506519,0.009388832718350597,21.379370723937566,0.7719150511416307,0.8164975470643878
PROXY,0,0,EX_MAJOR_SHOCKS,VOL,793,30,15,0.45731996913000916,0.39995080226926105,9,0.5238701491507156,0.1509045765237017,3.4715325487059325,0.8290147516347113,0.8502822014540667
PROXY,0,0,ALL,CORE_VOL,1017,56,43,0.7083083743377844,0.7017363035748864,18,0.5926758979028164,0.42924030148011755,1.3807554785958727,0.8849495838062524,0.8807243767365246
PROXY,0,0,GFC,CORE_VOL,151,8,8,0.6538688541611453,0.6508291893098654,3,0.099533164240256,0.17821003737472893,0.5585160393124428,0.8324156130575718,0.8024761626040365
PROXY,0,0,2011,CORE_VOL,49,2,0,0.7043992553341137,0.6928289695777213,1,0.030180233310743525,0.0,,0.8479646759567193,0.8837380601147853
PROXY,0,0,2015_2016,CORE_VOL,100,3,3,0.7294251660801345,0.7169939042734212,1,0.01292000618627774,0.016320427210082047,0.791646322732062,0.9281388040371775,0.9488537003296063
PROXY,0,0,2018Q4,CORE_VOL,11,3,3,0.7397428441187742,0.7800181954586134,1,0.025722669458187384,0.028161391975394207,0.9134019185082315,0.7748779871583217,0.8401796946354839
PROXY,0,0,COVID,CORE_VOL,18,7,5,0.66717628212405,0.6986892487645758,3,0.11687204106439841,0.07565068242235792,1.5448907706066888,0.6964414029247123,0.7907050802109244
PROXY,0,0,2022,CORE_VOL,49,11,15,0.7327400481868451,0.7308504593409016,3,0.11433561802280408,0.09992729342117984,1.1441880802364488,0.7581046312618874,0.8006399776797319
PROXY,0,0,2023_PLUS,CORE_VOL,182,10,5,0.725516731176561,0.6622849119561963,2,0.10157517109125935,0.00884903152932157,11.478676593555639,0.8921870775658158,0.9123043742493319
PROXY,0,0,2024_PLUS,CORE_VOL,132,9,4,0.7248428995313196,0.6622849119561963,2,0.10036366767532597,0.0046944163591753,21.379370723937562,0.8859575255708155,0.9082487735321941
PROXY,0,0,EX_MAJOR_SHOCKS,CORE_VOL,793,30,15,0.7286599845650045,0.6999754011346305,9,0.2619350745753578,0.07545228826185088,3.471532548705931,0.9145073758173557,0.9251411007270334
PROXY,0,1,ALL,VOL,1017,56,43,0.4166167486755689,0.40347260714977284,18,1.1853517958056325,0.8584806029602351,1.3807554785958724,0.7698991676125048,0.7614487534730492
PROXY,0,1,GFC,VOL,151,8,8,0.3077377083222905,0.301658378619731,3,0.19906632848051198,0.3564200747494579,0.5585160393124426,0.6648312261151436,0.6049523252080731
PROXY,0,1,2011,VOL,49,2,0,0.4087985106682277,0.3856579391554429,1,0.06036046662148703,0.0,,0.6959293519134389,0.7674761202295702
PROXY,0,1,2015_2016,VOL,100,3,3,0.45885033216026916,0.4339878085468424,1,0.025840012372555468,0.03264085442016408,0.791646322732062,0.856277608074355,0.8977074006592124
PROXY,0,1,2018Q4,VOL,11,3,3,0.47948568823754834,0.560036390917227,1,0.05144533891637478,0.056322783950788394,0.913401918508232,0.5497559743166432,0.680359389270968
PROXY,0,1,COVID,VOL,18,7,5,0.33435256424810017,0.3973784975291519,3,0.2337440821287968,0.15130136484471585,1.5448907706066886,0.39288280584942487,0.5814101604218488
PROXY,0,1,2022,VOL,49,11,15,0.4654800963736899,0.46170091868180313,3,0.22867123604560818,0.19985458684235968,1.1441880802364488,0.5162092625237746,0.601279955359464
PROXY,0,1,2023_PLUS,VOL,182,10,5,0.45103346235312214,0.3245698239123928,2,0.2031503421825187,0.017698063058643146,11.478676593555633,0.784374155131632,0.8246087484986637
PROXY,0,1,2024_PLUS,VOL,132,9,4,0.44968579906263934,0.3245698239123928,2,0.2007273353506519,0.009388832718350603,21.37937072393755,0.7719150511416307,0.8164975470643878
PROXY,0,1,EX_MAJOR_SHOCKS,VOL,793,30,15,0.4573199691300091,0.39995080226926094,9,0.5238701491507156,0.15090457652370173,3.471532548705932,0.8290147516347113,0.8502822014540667
PROXY,0,1,ALL,CORE_VOL,1017,56,43,0.7083083743377844,0.7017363035748864,18,0.5926758979028163,0.4292403014801176,1.3807554785958722,0.8849495838062524,0.8807243767365246
PROXY,0,1,GFC,CORE_VOL,151,8,8,0.6538688541611452,0.6508291893098654,3,0.09953316424025602,0.1782100373747289,0.558516039312443,0.8324156130575718,0.8024761626040366
PROXY,0,1,2011,CORE_VOL,49,2,0,0.7043992553341138,0.6928289695777213,1,0.03018023331074352,0.0,,0.8479646759567193,0.8837380601147853
PROXY,0,1,2015_2016,CORE_VOL,100,3,3,0.7294251660801346,0.7169939042734211,1,0.012920006186277732,0.016320427210082037,0.7916463227320621,0.9281388040371775,0.9488537003296064
PROXY,0,1,2018Q4,CORE_VOL,11,3,3,0.7397428441187742,0.7800181954586137,1,0.02572266945818738,0.02816139197539421,0.9134019185082313,0.7748779871583217,0.8401796946354839
PROXY,0,1,COVID,CORE_VOL,18,7,5,0.66717628212405,0.6986892487645758,3,0.11687204106439843,0.07565068242235792,1.544890770606689,0.6964414029247123,0.7907050802109242
PROXY,0,1,2022,CORE_VOL,49,11,15,0.7327400481868449,0.7308504593409015,3,0.1143356180228041,0.09992729342117986,1.1441880802364488,0.7581046312618874,0.8006399776797319
PROXY,0,1,2023_PLUS,CORE_VOL,182,10,5,0.725516731176561,0.6622849119561964,2,0.10157517109125938,0.008849031529321573,11.478676593555637,0.8921870775658158,0.9123043742493319
PROXY,0,1,2024_PLUS,CORE_VOL,132,9,4,0.7248428995313196,0.6622849119561964,2,0.10036366767532597,0.0046944163591753,21.379370723937562,0.8859575255708154,0.908248773532194
PROXY,0,1,EX_MAJOR_SHOCKS,CORE_VOL,793,30,15,0.7286599845650046,0.6999754011346305,9,0.2619350745753578,0.07545228826185088,3.471532548705931,0.9145073758173555,0.9251411007270334
PROXY,0,3,ALL,VOL,1017,56,43,0.4166167486755689,0.40347260714977284,18,1.1853517958056325,0.8584806029602351,1.3807554785958724,0.7698991676125048,0.7614487534730492
PROXY,0,3,GFC,VOL,151,8,8,0.3077377083222906,0.30165837861973105,3,0.19906632848051198,0.3564200747494579,0.5585160393124426,0.6648312261151437,0.6049523252080731
PROXY,0,3,2011,VOL,49,2,0,0.4087985106682277,0.3856579391554429,1,0.06036046662148703,0.0,,0.6959293519134389,0.7674761202295702
PROXY,0,3,2015_2016,VOL,100,3,3,0.45885033216026927,0.43398780854684244,1,0.025840012372555465,0.03264085442016408,0.7916463227320619,0.8562776080743552,0.8977074006592124
PROXY,0,3,2018Q4,VOL,11,3,3,0.4794856882375484,0.560036390917227,1,0.05144533891637477,0.0563227839507884,0.9134019185082317,0.5497559743166434,0.680359389270968
PROXY,0,3,COVID,VOL,18,7,5,0.33435256424810017,0.3973784975291519,3,0.2337440821287968,0.15130136484471585,1.5448907706066886,0.39288280584942487,0.5814101604218488
PROXY,0,3,2022,VOL,49,11,15,0.4654800963736899,0.46170091868180313,3,0.22867123604560816,0.19985458684235968,1.1441880802364488,0.5162092625237747,0.601279955359464
PROXY,0,3,2023_PLUS,VOL,182,10,5,0.45103346235312214,0.32456982391239286,2,0.2031503421825187,0.017698063058643146,11.478676593555633,0.784374155131632,0.8246087484986637
PROXY,0,3,2024_PLUS,VOL,132,9,4,0.44968579906263934,0.32456982391239286,2,0.2007273353506519,0.009388832718350601,21.379370723937555,0.7719150511416307,0.8164975470643878
PROXY,0,3,EX_MAJOR_SHOCKS,VOL,793,30,15,0.4573199691300091,0.39995080226926094,9,0.5238701491507156,0.15090457652370173,3.471532548705932,0.8290147516347113,0.8502822014540667
PROXY,0,3,ALL,CORE_VOL,1017,56,43,0.7083083743377844,0.7017363035748865,18,0.5926758979028164,0.42924030148011755,1.3807554785958727,0.8849495838062524,0.8807243767365246
PROXY,0,3,GFC,CORE_VOL,151,8,8,0.6538688541611453,0.6508291893098654,3,0.099533164240256,0.17821003737472893,0.5585160393124428,0.8324156130575718,0.8024761626040365
PROXY,0,3,2011,CORE_VOL,49,2,0,0.7043992553341138,0.6928289695777216,1,0.030180233310743508,0.0,,0.8479646759567195,0.8837380601147853
PROXY,0,3,2015_2016,CORE_VOL,100,3,3,0.7294251660801345,0.7169939042734212,1,0.012920006186277744,0.01632042721008204,0.7916463227320627,0.9281388040371775,0.9488537003296063
PROXY,0,3,2018Q4,CORE_VOL,11,3,3,0.7397428441187742,0.7800181954586136,1,0.025722669458187384,0.028161391975394193,0.9134019185082319,0.7748779871583217,0.8401796946354839
PROXY,0,3,COVID,CORE_VOL,18,7,5,0.66717628212405,0.6986892487645759,3,0.11687204106439839,0.07565068242235791,1.5448907706066886,0.6964414029247123,0.7907050802109246
PROXY,0,3,2022,CORE_VOL,49,11,15,0.7327400481868451,0.7308504593409016,3,0.11433561802280408,0.09992729342117987,1.1441880802364484,0.7581046312618874,0.8006399776797319
PROXY,0,3,2023_PLUS,CORE_VOL,182,10,5,0.7255167311765609,0.6622849119561962,2,0.10157517109125938,0.00884903152932157,11.478676593555642,0.8921870775658158,0.9123043742493319
PROXY,0,3,2024_PLUS,CORE_VOL,132,9,4,0.7248428995313196,0.6622849119561962,2,0.10036366767532598,0.0046944163591753,21.379370723937566,0.8859575255708155,0.908248773532194
PROXY,0,3,EX_MAJOR_SHOCKS,CORE_VOL,793,30,15,0.7286599845650045,0.6999754011346305,9,0.26193507457535786,0.07545228826185085,3.4715325487059334,0.9145073758173557,0.9251411007270334
PROXY,1,0,ALL,VOL,1017,57,41,0.42111000444128893,0.4084070086260096,24,1.2023220302038173,0.9865075061905842,1.2187662259627448,0.7659589059462258,0.7565743480219378
PROXY,1,0,GFC,VOL,150,5,10,0.26684284269618996,0.23749610141130656,2,0.19813262900899406,0.3942456064016902,0.5025614129663123,0.6526243784167567,0.6126727461877026
