cash_mode,offset,cost_bps,period,rule,identity_error,CAGR_link_error,CAGR_gap,matched_target,dynamic_average,static_average,matched_CAGR_gap,Return_Retention,annual_cost,annual_exposure_opportunity,CAGR_exposure_opportunity,annual_dynamic_timing,CAGR_dynamic_timing,annual_cash,CAGR_cash,CAGR_cost,annual_interaction,CAGR_interaction,annual_vol_total_reduction,annual_vol_lower_exposure_effect,annual_vol_dynamic_effect,annual_vol_dynamic_fraction,annual_vol_BH_reduction,ES95_5D_total_reduction,ES95_5D_lower_exposure_effect,ES95_5D_dynamic_effect,ES95_5D_dynamic_fraction,ES95_5D_BH_reduction,MaxDD_total_reduction,MaxDD_lower_exposure_effect,MaxDD_dynamic_effect,MaxDD_dynamic_fraction,MaxDD_BH_reduction
PROXY,0,0,ALL,VOL,4.679416576447437e-16,3.0878077872387166e-16,-0.027026106698872204,0.8316915400137077,0.831821896905649,0.83182189691238,-0.004346101137188835,0.8347570602644805,0.0,-0.02956168823676914,-0.026276964605187005,-0.009134193176010157,-0.003953510432616036,0.002792323789645328,0.0032043683389305277,0.0,0.0,0.0,0.06641545391039877,0.03700461145254216,0.029410842457856606,0.1619671164508406,0.30383590348693534,0.01832353756318831,0.011398107837462944,0.0069254297257253655,0.12373724130629415,0.2719959631260842,0.21547818612640046,0.06995858319901072,0.14551960292738975,0.3213467698764114,0.41216062572615786
PROXY,0,0,GFC,VOL,4.440892098500626e-16,9.020562075079397e-17,0.04579085377197352,0.7071872865271871,0.7069036362497453,0.7069036362524785,0.03999169192315269,2.81577583753595,0.0,-0.019856946177807745,-0.001279731735067323,0.02919143960685723,0.04331392060588074,0.003575082675073724,0.003756664901160016,0.0,0.0,0.0,0.13677022400691255,0.08613961216993082,0.050630611836981726,0.24534189638111703,0.46757902267630724,0.03909924230230678,0.026181868864324595,0.012917373437982188,0.20559576848971384,0.43926375986913857,0.21547818612640124,0.1267643483825045,0.08871383774389674,0.2240038373134532,0.41216062572615875
PROXY,0,0,2011,VOL,2.7994100093575724e-16,1.0130785099704553e-15,-0.04527585254946298,0.788893161508895,0.7886104184044044,0.7886104184085253,-0.04405497670879338,-0.7280266540086655,0.0,-0.010459141660186478,-0.0021132152824063764,-0.046728053671205506,-0.043220749349803717,5.743207365671719e-05,5.8112082748126346e-05,0.0,0.0,0.0,0.06683809392960205,0.046453564946664805,0.020384528982937244,0.11863520880076517,0.3062050806233947,0.018630025737168092,0.01478211711946284,0.003847908617705252,0.06967141824000189,0.2660995529898227,0.02150625810743323,0.0311602558726759,-0.009653997765242672,-0.0800568484076869,0.14172206777041074
PROXY,0,0,2015_2016,VOL,4.440892098500626e-16,1.8735013540549517e-16,-0.030804438207970887,0.9088557963332278,0.9089897740763173,0.9089897740803662,-0.024573308787915672,0.6454590381935441,0.0,-0.00924653905421031,-0.006602120781507564,-0.024302961131886187,-0.02435886821214103,0.00014606283844773832,0.00015655078567789285,0.0,0.0,0.0,0.026613076996510776,0.01753559918285605,0.009077477813654727,0.05230784546612499,0.13928071146441412,0.010144456988786951,0.006644633669834907,0.0034998233189520445,0.05284862381194755,0.13921655386375453,-0.0006573048787518188,0.015427380929363466,-0.016084685808115284,-0.10171257707834958,-0.003787060275721954
PROXY,0,0,2018Q4,VOL,4.135147085859714e-16,3.0808688933348094e-15,0.0643511772721233,0.620371424658515,0.619991881543818,0.619991881543127,-0.10679786474418806,,0.0,0.2695543862027219,0.1499507349463845,-0.18113456011864182,-0.09022105707663275,0.009289004608522264,0.004621499402368469,0.0,0.0,0.0,0.12146597813082055,0.12334636859591319,-0.0018803904650926406,-0.00939829458373942,0.3755624208026428,0.010048408121051344,0.03305817695368041,-0.023009768832629063,-0.42963851161234823,0.1160132823858302,0.05367443477991163,0.08235733468218931,-0.02868289990227768,-0.20627311826403383,0.24242061767230239
PROXY,0,0,COVID,VOL,3.434752482434078e-16,1.5265566588595902e-15,-0.22967081705905112,0.4960855866156635,0.49755566163663173,0.4975556616432265,-0.2092424128211065,-1.5136323997411842,0.0,-0.08810197415808468,-0.02435108412581318,-0.21660871875908325,-0.20676401984450962,0.001463852628443003,0.0014442869112732237,0.0,0.0,0.0,0.2243290315657276,0.21315161445660996,0.011177417109117627,0.05365805563843917,0.5322666194183499,0.03577691249566872,0.07260809730187934,-0.036831184806210615,-0.5168321166571164,0.2486727888903889,0.11057678321099851,0.1323911681636517,-0.0218143849526532,-0.15229237416110797,0.401176388576
PROXY,0,0,2022,VOL,3.5995512126518747e-16,6.661338147750939e-16,0.07971656497142254,0.5675905190219055,0.5663001945389603,0.5663001945331081,-0.06496298563708355,,0.0,0.15543795636834865,0.13419025906863885,-0.08631732283618389,-0.06060333695584523,0.008701700893970668,0.006129642858628252,0.0,0.0,0.0,0.1403812687820905,0.14016088770625762,0.00022038107583288724,0.0012101958523875744,0.4356088075268453,0.03422401351748088,0.0394248055736569,-0.005200792056176018,-0.10135049064699131,0.37716682832237614,0.09989777977953207,0.14731384354614963,-0.047416063766617556,-0.22034517721002223,0.275577211702556
PROXY,0,0,2023_PLUS,VOL,4.373671563806525e-16,9.159339953157541e-16,-0.08072891400157611,0.8332942638007808,0.8336697556018255,0.8336697556071907,-0.035246271130241424,0.7423058079985708,0.0,-0.049036942610561074,-0.054524207907846935,-0.03130632648883105,-0.03570894003908631,0.007518408131798882,0.009504233945356213,0.0,0.0,0.0,0.05067716555682561,0.03417273096545689,0.016504434591368716,0.09744651174204377,0.2489765786950503,0.009812496620652505,0.007988074245411855,0.0018244223752406502,0.0467451067179806,0.20869998450385874,0.06214628416414536,0.03812420031799835,0.024022083846147013,0.11799234523934421,0.2571062665600611
PROXY,0,0,2024_PLUS,VOL,4.04570040662966e-16,6.106226635438361e-16,-0.0710582504917813,0.8299263841836364,0.8302026186513219,0.8302026186555151,-0.03817299813580394,0.7061320047655779,0.0,-0.0407836639923671,-0.0411679402421628,-0.036252552441973514,-0.03874055134967939,0.007386942958111529,0.008850241100060278,0.0,0.0,0.0,0.05690481185359067,0.03632013379965457,0.0205846780539361,0.11760272323900256,0.26923697256160484,0.01124055065604835,0.008480815599050645,0.0027597350569977044,0.06817646009121159,0.229585890668353,0.062146284164144805,0.03890696037770214,0.023239323786442667,0.11458812889118952,0.2571062665600592
PROXY,0,0,EX_MAJOR_SHOCKS,VOL,4.679416576447437e-16,3.469446951953614e-16,-0.047381486012116364,0.8796432859453489,0.8798196819343708,0.8798196819334959,-0.021138441128615265,0.7961530456610242,0.0,-0.027219095463608067,-0.028420375599753266,-0.020456264986958506,-0.02173104049544565,0.0022974341764283473,0.0027699300830822072,0.0,0.0,0.0,0.03660766379904645,0.022340921178385736,0.014266742620660716,0.08787118067194688,0.1981999537653879,0.008502667911803784,0.006482405287181754,0.0020202626246220295,0.042978839352259324,0.15896287144264443,0.06214628416414536,0.027402493387445492,0.03474379077669987,0.16211788270377714,0.2571062665600611
