cash_mode,offset,cost_bps,rule,period,Return_Retention,n,cycles,years,CAGR,annual_return,annual_vol,downside_deviation,Sharpe,Sortino,Calmar,MaxDD,recovery_sessions,recovery_censored,longest_completed_recovery,average_exposure,cash_share,beta,annual_turnover,annual_fee_drag,VaR95_5D,ES95_5D,loss2_frequency,loss5_frequency,mean_path_D,actual_5D_proxy_ann,vol_proxy_overshoot,vol_prediction_rmse,ES_budget_predicted_gross_breach,ES_budget_predicted_net_breach,probability_budget_predicted_gross_breach,probability_budget_predicted_net_breach,loss_budget_realized_frequency,VaR_hit,ES_identification,expected_loss2,expected_loss5,path_projection_approx,CAGR_cost_drag
PROXY,0,0,BUYHOLD,ALL,1.0,5085,1017,20.216290212183434,0.16355377568402613,0.17577608316930807,0.21858988074875285,0.15608325833975395,0.7263988340086548,1.0141717333216305,0.31284107100409975,0.5228014824239071,761,False,761,1.0,0.0,1.0000000000000002,0.049557522123893805,0.0,0.044170306453956476,0.0673669467465383,0.168141592920354,0.032448377581120944,0.01934459635763229,0.22052746778901208,0.47099311701081614,0.011567848016397573,0.6794493608652901,0.6794493608652901,0.6892822025565388,0.6892822025565388,0.09734513274336283,0.05309734513274336,-0.12577978111667723,0.16621684466447012,0.03634826480730003,0.01939637242741534,0.0
PROXY,0,0,BUYHOLD,GFC,1.0,755,151,2.9924709103353866,0.025218340736438468,0.06774886567589,0.2925071856818414,0.21043921521532827,0.16204710974143618,0.22475010368989,0.048236934255650135,0.5228014824239078,545,True,46,1.0,0.0,1.0000000000000002,0.0,0.0,0.058124506762131656,0.0890108537839654,0.2251655629139073,0.0728476821192053,0.026079487010715403,0.2913983919267302,0.7152317880794702,0.011865703518121962,0.8410596026490066,0.8410596026490066,0.8410596026490066,0.8410596026490066,0.12582781456953643,0.059602649006622516,-0.1696329065262465,0.21403756485282932,0.06272102409480772,0.02510639847998463,0.0
PROXY,0,0,BUYHOLD,2011,1.0,251,49,0.9883641341546886,0.02620089941577715,0.04947803757043888,0.2182788534844953,0.16021662664652134,0.22411953020628014,0.3053101061448519,0.1726588430260247,0.1517495365808047,110,True,55,1.0,0.0,1.0000000000000002,0.0,0.0,0.04895348877415595,0.07001148828641822,0.22448979591836735,0.04081632653061224,0.023297595086573242,0.22768262162933053,0.6122448979591837,0.010736967289898513,0.7346938775510204,0.7346938775510204,0.7551020408163265,0.7551020408163265,0.16326530612244897,0.10204081632653061,-0.31388112607301694,0.18712659509003501,0.04330799432626789,0.02085192437862324,0.0
PROXY,0,0,BUYHOLD,2015_2016,1.0,503,100,1.9931553730321698,0.0868854138912926,0.10159890232515283,0.19107510807991782,0.14103405886072146,0.5223466988703075,0.7074539974237628,0.5005900764226787,0.17356599338163858,72,False,182,1.0,0.0,1.0000000000000002,0.0,0.0,0.03670936630915478,0.07286818059521075,0.13,0.03,0.016293981782477252,0.20010966319044216,0.27,0.016570760950499284,0.5,0.5,0.52,0.52,0.06,0.07,-0.5815012463589665,0.13825218192365035,0.022679336219866276,0.01645456595233466,0.0
PROXY,0,0,BUYHOLD,2018Q4,1.0,62,11,0.24914442162902123,-0.5289552733768645,-0.7093384933401242,0.32342420700991975,0.2593995857842623,-2.2660375423157855,-2.815954583043899,-2.3890268173076827,0.22141035401727782,62,True,0,1.0,0.0,0.9999999999999994,0.0,0.0,0.08661429031576695,0.08661429031576695,0.5454545454545454,0.2727272727272727,0.04402090241656724,0.3056793754317853,1.0,0.01438927802166601,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.18181818181818182,-2.5389495501817803,0.22859420529360222,0.07516146944035527,0.026288822780981155,0.0
PROXY,0,0,BUYHOLD,COVID,1.0,92,18,0.3613963039014374,0.09137008939043718,0.17534673481457277,0.42145989130573286,0.3122586428054668,0.4073796893561575,0.5495431079380513,0.3314938400367208,0.2756313341458043,72,False,72,1.0,0.0,0.9999999999999993,0.0,0.0,0.14387144108251682,0.14387144108251682,0.3333333333333333,0.1111111111111111,0.0433502149873622,0.5089858971721861,0.9444444444444444,0.035581659653158695,1.0,1.0,1.0,1.0,0.16666666666666666,0.1111111111111111,-2.0172700483624038,0.26481957680289425,0.12664832062081594,0.03855362189130534,0.0
PROXY,0,0,BUYHOLD,2022,1.0,250,49,0.9883641341546886,-0.3376954837308446,-0.35839987569999615,0.322264532664297,0.23937477070898194,-1.173976549512866,-1.5760015170155277,-0.9315640449314492,0.36250377584688187,249,True,0,1.0,0.0,1.0000000000000002,0.0,0.0,0.07536583571341748,0.09073972297539527,0.3469387755102041,0.12244897959183673,0.038030339617945205,0.3001217169953161,0.9795918367346939,0.010353769351564769,1.0,1.0,1.0,1.0,0.2857142857142857,0.12244897959183673,-0.37173557105417715,0.24481127910182943,0.08668814700553157,0.02870464178807477,0.0
PROXY,0,0,BUYHOLD,2023_PLUS,1.0,912,182,3.6386036960985626,0.3132740919559739,0.2948167531887495,0.20354189868957773,0.1377101563188095,1.2166497840571102,1.7799840540362144,1.296050653327124,0.24171438913422105,88,False,88,1.0,0.0,0.9999999999999999,0.0,0.0,0.036440876690191915,0.04701723693933039,0.16483516483516483,0.005494505494505495,0.01799736890422296,0.20080157030273565,0.4945054945054945,0.009718569337858644,0.8626373626373627,0.8626373626373627,0.8461538461538461,0.8461538461538461,0.09340659340659341,0.038461538461538464,0.17644015727305004,0.17203298125773334,0.03511259897515613,0.01941367932420709,0.0
PROXY,0,0,BUYHOLD,2024_PLUS,1.0,662,132,2.642026009582478,0.24180329822952404,0.24019018237164713,0.2113558599035655,0.14674629483730456,0.9233270363150031,1.3178892758633274,1.0003678270690541,0.2417143891342206,88,False,88,1.0,0.0,1.0000000000000002,0.0,0.0,0.039735387881278506,0.048960110847080865,0.17424242424242425,0.007575757575757576,0.018783079134402036,0.2088647023813075,0.5,0.010724909098413081,0.8484848484848485,0.8484848484848485,0.8257575757575758,0.8257575757575758,0.09848484848484848,0.03787878787878788,0.16571887543625527,0.1719027765382527,0.03606556478282237,0.01956540531663441,0.0
PROXY,0,0,BUYHOLD,EX_MAJOR_SHOCKS,1.0,3982,793,15.824777549623546,0.2324365657841814,0.2264854670191833,0.1847006677023722,0.12985871667373183,1.1373025840236073,1.6112919506771999,0.9616165864875847,0.24171438913422105,88,False,182,1.0,0.0,1.0,0.06328478151682572,0.0,0.036140405740173964,0.05348838904732318,0.1424968474148802,0.017654476670870115,0.016398111863387396,0.1858445218277842,0.38209331651954603,0.010448951368897681,0.6204287515762925,0.6204287515762925,0.6330390920554855,0.6330390920554855,0.07818411097099622,0.04539722572509458,-0.05565421802078785,0.15011168221468735,0.02626096147008557,0.017314679063692596,0.0
