model,period,n,origin_share,negative_return_amount_share,VaR_shortfall_amount_share,PINBALL_loss_share,BRIER2_loss_share,BRIER5_loss_share,DD_MSE_loss_share
HS,GFC,756,0.11426844014510278,0.18830327965013144,0.3262689413169714,0.1788246657658779,0.1754426947676715,0.2884202790833339,0.2704165658389819
HS,COVID,93,0.01405683192261185,0.03889421200939616,0.1424053880541523,0.05577548480613619,0.02498779975029744,0.08561195798587953,0.09890418793166314
HS,2022,251,0.03793833131801693,0.07187178762873253,0.09068558565460301,0.05149215858725611,0.07592138205524894,0.10428321368534743,0.057224018931258835
HS,SHOCK_UNION,1115,0.16853083434099153,0.30400198563506964,0.5651269174148685,0.2886835973557964,0.28126737493517506,0.4844595522488823,0.42902871683159655
FHS,GFC,756,0.11426844014510278,0.18830327965013144,0.15201970553680486,0.15473939993578514,0.17123954406445613,0.25989892413931315,0.21941840595551498
FHS,COVID,93,0.01405683192261185,0.03889421200939616,0.09019371248011276,0.04816019287206716,0.025464649329879605,0.08470227504472942,0.10386421446025211
FHS,2022,251,0.03793833131801693,0.07187178762873253,0.09545778185316077,0.059403192245603045,0.07737178193347143,0.1119305072132715,0.06961442375738758
FHS,SHOCK_UNION,1115,0.16853083434099153,0.30400198563506964,0.35412333755550723,0.2670019914746523,0.2796525339898718,0.4632343590055624,0.3966823153944534
