period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
GFC,HS,p2,0.1_0.2,756,,,,,,,,,0.23148148148148148,0.157281209130588
GFC,HS,p2,0.2_1.000001,0,,,,,,,,,,
GFC,HS,p5,0_0.01,0,,,,,,,,,,
GFC,HS,p5,0.01_0.05,756,,,,,,,,,0.062169312169312166,0.02563383126574159
GFC,HS,p5,0.05_0.1,0,,,,,,,,,,
GFC,HS,p5,0.1_0.2,0,,,,,,,,,,
GFC,HS,p5,0.2_1.000001,0,,,,,,,,,,
GFC,FHS,RISK,LOW,131,0.0916030534351145,-0.943329378333817,0.11450381679389313,0.07094920196917107,0.015267175572519083,0.0029201015183167494,0.01094061503506446,0.010948222278207175,,
GFC,FHS,RISK,MID,320,0.040625,0.176291850249401,0.203125,0.17831592127380305,0.00625,0.02378174261918885,0.01846577283609621,0.01864683225451162,,
GFC,FHS,RISK,HIGH,305,0.04262295081967213,-0.0007550945996523309,0.3114754098360656,0.2776073466912578,0.14098360655737704,0.12345040675621932,0.04041492547585931,0.03717277438287463,,
GFC,FHS,p2,0_0.01,0,,,,,,,,,,
GFC,FHS,p2,0.01_0.05,32,,,,,,,,,0.15625,0.037753562695829385
GFC,FHS,p2,0.05_0.1,79,,,,,,,,,0.11392405063291139,0.07431709526154077
GFC,FHS,p2,0.1_0.2,275,,,,,,,,,0.19636363636363635,0.1665801287204569
GFC,FHS,p2,0.2_1.000001,370,,,,,,,,,0.2891891891891892,0.265235083990157
GFC,FHS,p5,0_0.01,149,,,,,,,,,0.013422818791946308,0.0036561990282714366
GFC,FHS,p5,0.01_0.05,357,,,,,,,,,0.014005602240896359,0.027727128810498228
GFC,FHS,p5,0.05_0.1,91,,,,,,,,,0.02197802197802198,0.07010646011438366
GFC,FHS,p5,0.1_0.2,104,,,,,,,,,0.23076923076923078,0.15112394907214893
GFC,FHS,p5,0.2_1.000001,55,,,,,,,,,0.2545454545454545,0.2382750506038928
2011,HS,RISK,LOW,83,0.024096385542168676,0.2975935215280308,0.13253012048192772,0.16697325562647716,0.012048192771084338,0.030354177414224363,0.015256625739448672,0.01928458274906771,,
2011,HS,RISK,MID,72,0.1111111111111111,-0.8007859566485316,0.16666666666666666,0.16675547083250508,0.06944444444444445,0.03032233806999069,0.019715135593564685,0.01927914062568499,,
2011,HS,RISK,HIGH,97,0.12371134020618557,-0.18893659113798097,0.26804123711340205,0.16828167843299813,0.061855670103092786,0.031068530106265525,0.029618498037982745,0.019409624108398523,,
2011,HS,p2,0_0.01,0,,,,,,,,,,
2011,HS,p2,0.01_0.05,0,,,,,,,,,,
2011,HS,p2,0.05_0.1,0,,,,,,,,,,
