period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
EX_MAJOR_SHOCKS,HS,RISK,LOW,2254,0.01064773735581189,0.2718957192985852,0.11180124223602485,0.19023965307935883,0.008429458740017746,0.043521445330277464,0.013400976045064935,0.021290595610236492,,
EX_MAJOR_SHOCKS,HS,RISK,MID,1495,0.042140468227424746,0.13479253531661337,0.18193979933110369,0.1836527056837849,0.032107023411371234,0.04143855719762472,0.019370308619492623,0.020722121265884314,,
EX_MAJOR_SHOCKS,HS,RISK,HIGH,223,0.04932735426008968,0.09442945648823754,0.18385650224215247,0.1797072197349158,0.03587443946188341,0.039701403700228684,0.02531340441710282,0.02032954033846187,,
EX_MAJOR_SHOCKS,HS,p2,0_0.01,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p2,0.01_0.05,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p2,0.05_0.1,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p2,0.1_0.2,2929,,,,,,,,,0.13690679412768864,0.1791961572925905
EX_MAJOR_SHOCKS,HS,p2,0.2_1.000001,1043,,,,,,,,,0.15723873441994246,0.20955909715150717
EX_MAJOR_SHOCKS,HS,p5,0_0.01,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p5,0.01_0.05,3258,,,,,,,,,0.016267648864333947,0.04013917467889997
EX_MAJOR_SHOCKS,HS,p5,0.05_0.1,714,,,,,,,,,0.03081232492997199,0.053400507991861725
EX_MAJOR_SHOCKS,HS,p5,0.1_0.2,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p5,0.2_1.000001,0,,,,,,,,,,
EX_MAJOR_SHOCKS,FHS,RISK,LOW,2254,0.05634427684117125,-0.0757883342223849,0.11180124223602485,0.10967840316836637,0.008429458740017746,0.007487240855760441,0.013400976045064935,0.013297647486967903,,
EX_MAJOR_SHOCKS,FHS,RISK,MID,1495,0.03812709030100334,0.0818633545294054,0.18193979933110369,0.19373280650353145,0.032107023411371234,0.04114579581406805,0.019370308619492623,0.020906111440983352,,
EX_MAJOR_SHOCKS,FHS,RISK,HIGH,223,0.013452914798206279,0.232740457292579,0.18385650224215247,0.27580298096493655,0.03587443946188341,0.11924105045553524,0.02531340441710282,0.03473135558549255,,
EX_MAJOR_SHOCKS,FHS,p2,0_0.01,0,,,,,,,,,,
EX_MAJOR_SHOCKS,FHS,p2,0.01_0.05,104,,,,,,,,,0.019230769230769232,0.03815595491101742
EX_MAJOR_SHOCKS,FHS,p2,0.05_0.1,707,,,,,,,,,0.0876944837340877,0.07901201322706873
EX_MAJOR_SHOCKS,FHS,p2,0.1_0.2,2329,,,,,,,,,0.1382567625590382,0.14543222111533352
EX_MAJOR_SHOCKS,FHS,p2,0.2_1.000001,832,,,,,,,,,0.21514423076923078,0.24015429757159018
EX_MAJOR_SHOCKS,FHS,p5,0_0.01,1684,,,,,,,,,0.007125890736342043,0.00501838504031969
EX_MAJOR_SHOCKS,FHS,p5,0.01_0.05,1636,,,,,,,,,0.01589242053789731,0.024532493702466206
EX_MAJOR_SHOCKS,FHS,p5,0.05_0.1,473,,,,,,,,,0.0613107822410148,0.06951141436326493
EX_MAJOR_SHOCKS,FHS,p5,0.1_0.2,169,,,,,,,,,0.047337278106508875,0.12538054945549165
EX_MAJOR_SHOCKS,FHS,p5,0.2_1.000001,10,,,,,,,,,0.0,0.23256279255646567
NONOVERLAP5_0,HS,RISK,LOW,509,0.01768172888015717,0.1789831065313165,0.10412573673870335,0.19129187793848096,0.0137524557956778,0.04383159090974196,0.013732400296543129,0.021425274683956486,,
NONOVERLAP5_0,HS,RISK,MID,409,0.06845965770171149,0.04321362534927158,0.23227383863080683,0.18728322445444096,0.04645476772616137,0.04296297679921034,0.02238443237043305,0.021171737886656845,,
NONOVERLAP5_0,HS,RISK,HIGH,99,0.09090909090909091,-0.8604917668725902,0.23232323232323232,0.1824028490219097,0.0707070707070707,0.041220203686862286,0.03564070611378251,0.020658126511545385,,
NONOVERLAP5_0,HS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_0,HS,p2,0.01_0.05,0,,,,,,,,,,
NONOVERLAP5_0,HS,p2,0.05_0.1,0,,,,,,,,,,
NONOVERLAP5_0,HS,p2,0.1_0.2,737,,,,,,,,,0.1655359565807327,0.18037254343598114
NONOVERLAP5_0,HS,p2,0.2_1.000001,280,,,,,,,,,0.175,0.21103472219072894
NONOVERLAP5_0,HS,p5,0_0.01,0,,,,,,,,,,
NONOVERLAP5_0,HS,p5,0.01_0.05,816,,,,,,,,,0.031862745098039214,0.04030674000039013
NONOVERLAP5_0,HS,p5,0.05_0.1,201,,,,,,,,,0.03482587064676617,0.05508774929660048
NONOVERLAP5_0,HS,p5,0.1_0.2,0,,,,,,,,,,
NONOVERLAP5_0,HS,p5,0.2_1.000001,0,,,,,,,,,,
NONOVERLAP5_0,FHS,RISK,LOW,509,0.0550098231827112,-0.25455448567134276,0.10412573673870335,0.11148934017249318,0.0137524557956778,0.007814264477269786,0.013732400296543129,0.013447829986687636,,
NONOVERLAP5_0,FHS,RISK,MID,409,0.05378973105134474,0.010579395328724277,0.23227383863080683,0.20479501557345,0.04645476772616137,0.047745685350259866,0.02238443237043305,0.022157378097037952,,
NONOVERLAP5_0,FHS,RISK,HIGH,99,0.04040404040404041,-0.027038150286823114,0.23232323232323232,0.2882151061255155,0.0707070707070707,0.13596706446300535,0.03564070611378251,0.038573713674433026,,
NONOVERLAP5_0,FHS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_0,FHS,p2,0.01_0.05,22,,,,,,,,,0.0,0.037463333028312805
NONOVERLAP5_0,FHS,p2,0.05_0.1,152,,,,,,,,,0.07894736842105263,0.07984017363498223
NONOVERLAP5_0,FHS,p2,0.1_0.2,527,,,,,,,,,0.15180265654648956,0.14614608686137656
NONOVERLAP5_0,FHS,p2,0.2_1.000001,316,,,,,,,,,0.25,0.2502014035717737
NONOVERLAP5_0,FHS,p5,0_0.01,378,,,,,,,,,0.015873015873015872,0.005078850733363519
NONOVERLAP5_0,FHS,p5,0.01_0.05,381,,,,,,,,,0.02099737532808399,0.02588245143365094
NONOVERLAP5_0,FHS,p5,0.05_0.1,162,,,,,,,,,0.06790123456790123,0.06996293439061958
NONOVERLAP5_0,FHS,p5,0.1_0.2,80,,,,,,,,,0.075,0.12584505815609337
NONOVERLAP5_0,FHS,p5,0.2_1.000001,16,,,,,,,,,0.125,0.236472856988992
NONOVERLAP5_1,HS,RISK,LOW,499,0.01002004008016032,0.25348037213138847,0.11623246492985972,0.19148882090334168,0.01002004008016032,0.043910800009471215,0.013701340061283023,0.02145070444056658,,
NONOVERLAP5_1,HS,RISK,MID,420,0.05238095238095238,-0.03217673464428002,0.21428571428571427,0.1872293039190529,0.047619047619047616,0.042933263294731884,0.021944690376383292,0.02115559043206898,,
NONOVERLAP5_1,HS,RISK,HIGH,98,0.16326530612244897,-0.8765446730505834,0.30612244897959184,0.18196216168558765,0.15306122448979592,0.0409629873922243,0.03702796514082247,0.02060664794682435,,
NONOVERLAP5_1,HS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_1,HS,p2,0.01_0.05,0,,,,,,,,,,
NONOVERLAP5_1,HS,p2,0.05_0.1,0,,,,,,,,,,
NONOVERLAP5_1,HS,p2,0.1_0.2,736,,,,,,,,,0.17527173913043478,0.180351841139387
NONOVERLAP5_1,HS,p2,0.2_1.000001,281,,,,,,,,,0.17437722419928825,0.21096998591946084
NONOVERLAP5_1,HS,p5,0_0.01,0,,,,,,,,,,
NONOVERLAP5_1,HS,p5,0.01_0.05,816,,,,,,,,,0.03676470588235294,0.040305203736910496
NONOVERLAP5_1,HS,p5,0.05_0.1,201,,,,,,,,,0.04975124378109453,0.0550685885752863
NONOVERLAP5_1,HS,p5,0.1_0.2,0,,,,,,,,,,
NONOVERLAP5_1,HS,p5,0.2_1.000001,0,,,,,,,,,,
NONOVERLAP5_1,FHS,RISK,LOW,499,0.06412825651302605,-0.12905491679150577,0.11623246492985972,0.11130911494414182,0.01002004008016032,0.007806695733766263,0.013701340061283023,0.013434129930384012,,
NONOVERLAP5_1,FHS,RISK,MID,420,0.05238095238095238,-0.11909545167400198,0.21428571428571427,0.20323999479730692,0.047619047619047616,0.046957923609199904,0.021944690376383292,0.02199985372470141,,
NONOVERLAP5_1,FHS,RISK,HIGH,98,0.04081632653061224,0.10324498830991297,0.30612244897959184,0.2885334781438252,0.15306122448979592,0.13699517699033523,0.03702796514082247,0.03886583047064213,,
NONOVERLAP5_1,FHS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_1,FHS,p2,0.01_0.05,18,,,,,,,,,0.05555555555555555,0.0353783605707804
NONOVERLAP5_1,FHS,p2,0.05_0.1,165,,,,,,,,,0.09090909090909091,0.07980712726012026
NONOVERLAP5_1,FHS,p2,0.1_0.2,531,,,,,,,,,0.1544256120527307,0.1484422173918742
NONOVERLAP5_1,FHS,p2,0.2_1.000001,303,,,,,,,,,0.264026402640264,0.252648591111589
NONOVERLAP5_1,FHS,p5,0_0.01,360,,,,,,,,,0.002777777777777778,0.004914461828564586
NONOVERLAP5_1,FHS,p5,0.01_0.05,405,,,,,,,,,0.03209876543209877,0.025281608974154837
NONOVERLAP5_1,FHS,p5,0.05_0.1,158,,,,,,,,,0.08227848101265822,0.07148878417021536
NONOVERLAP5_1,FHS,p5,0.1_0.2,78,,,,,,,,,0.11538461538461539,0.1268422897972918
NONOVERLAP5_1,FHS,p5,0.2_1.000001,16,,,,,,,,,0.25,0.2403882522604641
NONOVERLAP5_2,HS,RISK,LOW,496,0.012096774193548387,0.27992402396653465,0.12298387096774194,0.19149757472434933,0.008064516129032258,0.043901060124545754,0.013562183160396483,0.021450133781203796,,
NONOVERLAP5_2,HS,RISK,MID,416,0.05048076923076923,0.12703332752110885,0.19471153846153846,0.1871073221133318,0.04567307692307692,0.042886098352986506,0.021332076596288944,0.02114419080023935,,
NONOVERLAP5_2,HS,RISK,HIGH,105,0.1523809523809524,-1.2586198695248556,0.3047619047619048,0.18272926440352072,0.12380952380952381,0.04136072258754836,0.03927893747015467,0.020692686647913336,,
NONOVERLAP5_2,HS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_2,HS,p2,0.01_0.05,0,,,,,,,,,,
NONOVERLAP5_2,HS,p2,0.05_0.1,0,,,,,,,,,,
NONOVERLAP5_2,HS,p2,0.1_0.2,737,,,,,,,,,0.16417910447761194,0.1803682906192787
NONOVERLAP5_2,HS,p2,0.2_1.000001,280,,,,,,,,,0.18928571428571428,0.21098066299423068
NONOVERLAP5_2,HS,p5,0_0.01,0,,,,,,,,,,
NONOVERLAP5_2,HS,p5,0.01_0.05,816,,,,,,,,,0.03553921568627451,0.04030742033923035
NONOVERLAP5_2,HS,p5,0.05_0.1,201,,,,,,,,,0.03482587064676617,0.055062505529839254
NONOVERLAP5_2,HS,p5,0.1_0.2,0,,,,,,,,,,
NONOVERLAP5_2,HS,p5,0.2_1.000001,0,,,,,,,,,,
NONOVERLAP5_2,FHS,RISK,LOW,496,0.0625,-0.1085562293853527,0.12298387096774194,0.11160920904354338,0.008064516129032258,0.007850483946397865,0.013562183160396483,0.013462279431408512,,
NONOVERLAP5_2,FHS,RISK,MID,416,0.04326923076923077,0.06733408845830083,0.19471153846153846,0.20250804783708135,0.04567307692307692,0.04611552350393336,0.021332076596288944,0.021880956991891277,,
NONOVERLAP5_2,FHS,RISK,HIGH,105,0.02857142857142857,0.08361498672310776,0.3047619047619048,0.28874541275790266,0.12380952380952381,0.1367153055453228,0.03927893747015467,0.038764575174766856,,
NONOVERLAP5_2,FHS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_2,FHS,p2,0.01_0.05,22,,,,,,,,,0.0,0.03895390580778555
NONOVERLAP5_2,FHS,p2,0.05_0.1,152,,,,,,,,,0.10526315789473684,0.0779544650380045
NONOVERLAP5_2,FHS,p2,0.1_0.2,537,,,,,,,,,0.14338919925512103,0.14894113475868234
NONOVERLAP5_2,FHS,p2,0.2_1.000001,306,,,,,,,,,0.2647058823529412,0.25239323511909395
NONOVERLAP5_2,FHS,p5,0_0.01,352,,,,,,,,,0.002840909090909091,0.0048668376756973155
NONOVERLAP5_2,FHS,p5,0.01_0.05,412,,,,,,,,,0.03398058252427184,0.025374347395135673
NONOVERLAP5_2,FHS,p5,0.05_0.1,160,,,,,,,,,0.05,0.071423200038661
NONOVERLAP5_2,FHS,p5,0.1_0.2,78,,,,,,,,,0.14102564102564102,0.13034713519792115
NONOVERLAP5_2,FHS,p5,0.2_1.000001,15,,,,,,,,,0.13333333333333333,0.24472389046957005
NONOVERLAP5_3,HS,RISK,LOW,501,0.013972055888223553,0.2745517891600563,0.1217564870259481,0.191226807631976,0.011976047904191617,0.04381154795884987,0.013739695073080664,0.021420845028540327,,
NONOVERLAP5_3,HS,RISK,MID,425,0.042352941176470586,0.15314134273219138,0.21176470588235294,0.18741384210368398,0.02823529411764706,0.043011921460064405,0.021351313324220283,0.021179717230296245,,
NONOVERLAP5_3,HS,RISK,HIGH,92,0.15217391304347827,-1.3819910850102854,0.29347826086956524,0.18212024963452283,0.13043478260869565,0.041049254082837126,0.041514900859407206,0.020629106901257403,,
NONOVERLAP5_3,HS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_3,HS,p2,0.01_0.05,0,,,,,,,,,,
NONOVERLAP5_3,HS,p2,0.05_0.1,0,,,,,,,,,,
NONOVERLAP5_3,HS,p2,0.1_0.2,737,,,,,,,,,0.17096336499321574,0.18036223448461186
NONOVERLAP5_3,HS,p2,0.2_1.000001,281,,,,,,,,,0.18505338078291814,0.2109736998893338
NONOVERLAP5_3,HS,p5,0_0.01,0,,,,,,,,,,
NONOVERLAP5_3,HS,p5,0.01_0.05,817,,,,,,,,,0.02937576499388005,0.040315428047127164
NONOVERLAP5_3,HS,p5,0.05_0.1,201,,,,,,,,,0.029850746268656716,0.055067058751389446
NONOVERLAP5_3,HS,p5,0.1_0.2,0,,,,,,,,,,
NONOVERLAP5_3,HS,p5,0.2_1.000001,0,,,,,,,,,,
NONOVERLAP5_3,FHS,RISK,LOW,501,0.05788423153692615,-0.06375788118127691,0.1217564870259481,0.11194313764548326,0.011976047904191617,0.007850348454293153,0.013739695073080664,0.013478632446099228,,
NONOVERLAP5_3,FHS,RISK,MID,425,0.03529411764705882,0.08232278574792082,0.21176470588235294,0.20464092817109417,0.02823529411764706,0.04782761006509577,0.021351313324220283,0.022167311618989646,,
NONOVERLAP5_3,FHS,RISK,HIGH,92,0.05434782608695652,0.04205572750967139,0.29347826086956524,0.29185280518150447,0.13043478260869565,0.14160978882091413,0.041514900859407206,0.03995454957195926,,
NONOVERLAP5_3,FHS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_3,FHS,p2,0.01_0.05,17,,,,,,,,,0.0,0.03877957912841981
NONOVERLAP5_3,FHS,p2,0.05_0.1,155,,,,,,,,,0.10967741935483871,0.07855458044847599
NONOVERLAP5_3,FHS,p2,0.1_0.2,534,,,,,,,,,0.15168539325842698,0.14726591340459838
NONOVERLAP5_3,FHS,p2,0.2_1.000001,312,,,,,,,,,0.2564102564102564,0.251381903644385
NONOVERLAP5_3,FHS,p5,0_0.01,366,,,,,,,,,0.00819672131147541,0.005102298864625405
NONOVERLAP5_3,FHS,p5,0.01_0.05,394,,,,,,,,,0.02030456852791878,0.02541361853293147
NONOVERLAP5_3,FHS,p5,0.05_0.1,161,,,,,,,,,0.031055900621118012,0.06947894207390437
NONOVERLAP5_3,FHS,p5,0.1_0.2,81,,,,,,,,,0.13580246913580246,0.1272030187591105
NONOVERLAP5_3,FHS,p5,0.2_1.000001,16,,,,,,,,,0.1875,0.2448686340610137
NONOVERLAP5_4,HS,RISK,LOW,498,0.012048192771084338,0.2646828238543828,0.11044176706827309,0.19162423386877261,0.012048192771084338,0.043975072734527304,0.013672422543498855,0.02146169918475155,,
NONOVERLAP5_4,HS,RISK,MID,419,0.06205250596658711,0.001108172598359501,0.20047732696897375,0.18691977809563884,0.05489260143198091,0.04278212762280217,0.0220844251809074,0.02112806801423282,,
NONOVERLAP5_4,HS,RISK,HIGH,101,0.10891089108910891,-0.737819962982104,0.25742574257425743,0.18276652296486173,0.1188118811881188,0.041417388092506356,0.037126940824234275,0.02069939664346887,,
NONOVERLAP5_4,HS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_4,HS,p2,0.01_0.05,0,,,,,,,,,,
NONOVERLAP5_4,HS,p2,0.05_0.1,0,,,,,,,,,,
NONOVERLAP5_4,HS,p2,0.1_0.2,737,,,,,,,,,0.1587516960651289,0.18034986833116992
NONOVERLAP5_4,HS,p2,0.2_1.000001,281,,,,,,,,,0.1708185053380783,0.21099580550925362
NONOVERLAP5_4,HS,p5,0_0.01,0,,,,,,,,,,
NONOVERLAP5_4,HS,p5,0.01_0.05,816,,,,,,,,,0.03553921568627451,0.0403010880750209
NONOVERLAP5_4,HS,p5,0.05_0.1,202,,,,,,,,,0.0594059405940594,0.05506319813799405
NONOVERLAP5_4,HS,p5,0.1_0.2,0,,,,,,,,,,
NONOVERLAP5_4,HS,p5,0.2_1.000001,0,,,,,,,,,,
NONOVERLAP5_4,FHS,RISK,LOW,498,0.050200803212851405,-0.08195067666482293,0.11044176706827309,0.11126954128907185,0.012048192771084338,0.007795037677775153,0.013672422543498855,0.013432281204879668,,
NONOVERLAP5_4,FHS,RISK,MID,419,0.057279236276849645,-0.019897476590844308,0.20047732696897375,0.20393798221564474,0.05489260143198091,0.04750987535585644,0.0220844251809074,0.022083881886301844,,
NONOVERLAP5_4,FHS,RISK,HIGH,101,0.019801980198019802,0.2528573492345976,0.25742574257425743,0.28922621160985107,0.1188118811881188,0.13737802961905238,0.037126940824234275,0.03892548855000697,,
NONOVERLAP5_4,FHS,p2,0_0.01,0,,,,,,,,,,
NONOVERLAP5_4,FHS,p2,0.01_0.05,25,,,,,,,,,0.04,0.03963906883577854
NONOVERLAP5_4,FHS,p2,0.05_0.1,152,,,,,,,,,0.07236842105263158,0.08054126011267586
NONOVERLAP5_4,FHS,p2,0.1_0.2,526,,,,,,,,,0.1482889733840304,0.14739333581948696
NONOVERLAP5_4,FHS,p2,0.2_1.000001,315,,,,,,,,,0.23809523809523808,0.25178397010741765
NONOVERLAP5_4,FHS,p5,0_0.01,371,,,,,,,,,0.01078167115902965,0.00499291434039404
NONOVERLAP5_4,FHS,p5,0.01_0.05,381,,,,,,,,,0.03412073490813648,0.025773259228244288
NONOVERLAP5_4,FHS,p5,0.05_0.1,171,,,,,,,,,0.04678362573099415,0.07015263502855183
NONOVERLAP5_4,FHS,p5,0.1_0.2,79,,,,,,,,,0.12658227848101267,0.12840700386098985
NONOVERLAP5_4,FHS,p5,0.2_1.000001,16,,,,,,,,,0.375,0.24071941550077128
