period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
GFC,HS,p2,0.01_0.05,0,,,,,,,,,,
GFC,HS,p2,0.05_0.1,0,,,,,,,,,,
GFC,HS,p2,0.1_0.2,401,,,,,,,,,0.22443890274314215,0.19332686990152442
GFC,HS,p2,0.2_1.000001,355,,,,,,,,,0.24507042253521127,0.21533608428238138
GFC,HS,p5,0_0.01,0,,,,,,,,,,
GFC,HS,p5,0.01_0.05,463,,,,,,,,,0.08423326133909287,0.042558010075924975
GFC,HS,p5,0.05_0.1,293,,,,,,,,,0.06825938566552901,0.05914531654335158
GFC,HS,p5,0.1_0.2,0,,,,,,,,,,
GFC,HS,p5,0.2_1.000001,0,,,,,,,,,,
GFC,FHS,RISK,LOW,238,0.0546218487394958,-0.3190761798738508,0.13025210084033614,0.1285693112299189,0.025210084033613446,0.011025640243229972,0.01527107096468502,0.014870213991841942,,
GFC,FHS,RISK,MID,439,0.05922551252847381,-0.04059174176542323,0.2460136674259681,0.2341339961235014,0.06150341685649203,0.06399719256241866,0.025475216275295438,0.025369510385851196,,
GFC,FHS,RISK,HIGH,79,0.05063291139240506,-0.21463968103678688,0.4810126582278481,0.35571566287618983,0.3291139240506329,0.2116095855525014,0.0691895450330023,0.054718220515442055,,
GFC,FHS,p2,0_0.01,0,,,,,,,,,,
GFC,FHS,p2,0.01_0.05,0,,,,,,,,,,
GFC,FHS,p2,0.05_0.1,67,,,,,,,,,0.13432835820895522,0.08246156576277858
GFC,FHS,p2,0.1_0.2,287,,,,,,,,,0.1986062717770035,0.16305922393672595
GFC,FHS,p2,0.2_1.000001,402,,,,,,,,,0.27611940298507465,0.27154959095077186
GFC,FHS,p5,0_0.01,136,,,,,,,,,0.022058823529411766,0.004674988209697645
GFC,FHS,p5,0.01_0.05,286,,,,,,,,,0.05244755244755245,0.029618147500947465
GFC,FHS,p5,0.05_0.1,179,,,,,,,,,0.0335195530726257,0.06846223580167143
GFC,FHS,p5,0.1_0.2,109,,,,,,,,,0.1834862385321101,0.13634878533334752
GFC,FHS,p5,0.2_1.000001,46,,,,,,,,,0.32608695652173914,0.2437539299959611
2011,HS,RISK,LOW,125,0.008,0.32423004636900554,0.176,0.20797354517446381,0.008,0.05237704635208651,0.01807792271838306,0.02322845145249432,,
2011,HS,RISK,MID,118,0.1016949152542373,-0.302217066294737,0.2627118644067797,0.2087316125041737,0.1016949152542373,0.0527145187353362,0.027406342688283084,0.023278744493808703,,
2011,HS,RISK,HIGH,9,0.1111111111111111,0.14195615389332789,0.2222222222222222,0.20547665239163548,0.1111111111111111,0.050686163839844506,0.029382020410297614,0.022994545711155105,,
2011,HS,p2,0_0.01,0,,,,,,,,,,
2011,HS,p2,0.01_0.05,0,,,,,,,,,,
2011,HS,p2,0.05_0.1,0,,,,,,,,,,
2011,HS,p2,0.1_0.2,0,,,,,,,,,,
2011,HS,p2,0.2_1.000001,252,,,,,,,,,0.21825396825396826,0.2082393384675602
2011,HS,p5,0_0.01,0,,,,,,,,,,
2011,HS,p5,0.01_0.05,0,,,,,,,,,,
2011,HS,p5,0.05_0.1,252,,,,,,,,,0.05555555555555555,0.052474680473567806
2011,HS,p5,0.1_0.2,0,,,,,,,,,,
2011,HS,p5,0.2_1.000001,0,,,,,,,,,,
2011,FHS,RISK,LOW,125,0.08,-0.023054729169517108,0.176,0.13064715797604465,0.008,0.011006354380548485,0.01807792271838306,0.014846456988221181,,
2011,FHS,RISK,MID,118,0.06779661016949153,-0.33760271314191076,0.2627118644067797,0.24257697479922669,0.1016949152542373,0.06997039075262143,0.027406342688283084,0.026129036320410783,,
2011,FHS,RISK,HIGH,9,0.0,0.24916524696852116,0.2222222222222222,0.31140434397515093,0.1111111111111111,0.14227054933790292,0.029382020410297614,0.0383184240170619,,
2011,FHS,p2,0_0.01,0,,,,,,,,,,
2011,FHS,p2,0.01_0.05,0,,,,,,,,,,
2011,FHS,p2,0.05_0.1,23,,,,,,,,,0.13043478260869565,0.08629024184073755
2011,FHS,p2,0.1_0.2,119,,,,,,,,,0.16806722689075632,0.14632999135174393
2011,FHS,p2,0.2_1.000001,110,,,,,,,,,0.2909090909090909,0.2578152030536017
2011,FHS,p5,0_0.01,61,,,,,,,,,0.0,0.005994286892017816
2011,FHS,p5,0.01_0.05,91,,,,,,,,,0.04395604395604396,0.020764586615516986
2011,FHS,p5,0.05_0.1,65,,,,,,,,,0.09230769230769231,0.06820617118386912
2011,FHS,p5,0.1_0.2,35,,,,,,,,,0.11428571428571428,0.12068872402978256
2011,FHS,p5,0.2_1.000001,0,,,,,,,,,,
2015_2016,HS,RISK,LOW,346,0.017341040462427744,0.14549315427059425,0.15028901734104047,0.18418705161599036,0.017341040462427744,0.04076114964242533,0.015221968042747381,0.020658225274166313,,
2015_2016,HS,RISK,MID,123,0.056910569105691054,0.11458812771541559,0.13821138211382114,0.1845503913775666,0.04065040650406504,0.040890334966844355,0.017298281141993103,0.020744464270067296,,
2015_2016,HS,RISK,HIGH,35,0.0,0.34275910048159614,0.11428571428571428,0.18419931242339116,0.0,0.04055337757672095,0.02327084397017727,0.020716672426960382,,
2015_2016,HS,p2,0_0.01,0,,,,,,,,,,
2015_2016,HS,p2,0.01_0.05,0,,,,,,,,,,
2015_2016,HS,p2,0.05_0.1,0,,,,,,,,,,
2015_2016,HS,p2,0.1_0.2,504,,,,,,,,,0.14484126984126985,0.18427657526466681
2015_2016,HS,p2,0.2_1.000001,0,,,,,,,,,,
2015_2016,HS,p5,0_0.01,0,,,,,,,,,,
2015_2016,HS,p5,0.01_0.05,504,,,,,,,,,0.021825396825396824,0.04077824839759177
2015_2016,HS,p5,0.05_0.1,0,,,,,,,,,,
2015_2016,HS,p5,0.1_0.2,0,,,,,,,,,,
2015_2016,HS,p5,0.2_1.000001,0,,,,,,,,,,
2015_2016,FHS,RISK,LOW,346,0.08092485549132948,-0.34641594119368474,0.15028901734104047,0.10342100198459789,0.017341040462427744,0.006028047082671413,0.015221968042747381,0.012815410721284391,,
2015_2016,FHS,RISK,MID,123,0.024390243902439025,0.1804482834352215,0.13821138211382114,0.1944408874166826,0.04065040650406504,0.04007325285115677,0.017298281141993103,0.020887360484399105,,
2015_2016,FHS,RISK,HIGH,35,0.0,0.26323723497617024,0.11428571428571428,0.2976043808853801,0.0,0.14387848559864447,0.02327084397017727,0.04034104214357887,,
2015_2016,FHS,p2,0_0.01,0,,,,,,,,,,
2015_2016,FHS,p2,0.01_0.05,14,,,,,,,,,0.0,0.04003784848173401
2015_2016,FHS,p2,0.05_0.1,129,,,,,,,,,0.16279069767441862,0.08044671275281234
2015_2016,FHS,p2,0.1_0.2,277,,,,,,,,,0.1263537906137184,0.13550733503203746
2015_2016,FHS,p2,0.2_1.000001,84,,,,,,,,,0.20238095238095238,0.2576471612164248
2015_2016,FHS,p5,0_0.01,291,,,,,,,,,0.01718213058419244,0.005002870185532227
2015_2016,FHS,p5,0.01_0.05,142,,,,,,,,,0.007042253521126761,0.021479907358766925
2015_2016,FHS,p5,0.05_0.1,38,,,,,,,,,0.13157894736842105,0.07116134931636003
2015_2016,FHS,p5,0.1_0.2,28,,,,,,,,,0.0,0.12780818908188157
2015_2016,FHS,p5,0.2_1.000001,5,,,,,,,,,0.0,0.25234375
2018Q4,HS,RISK,LOW,3,0.3333333333333333,-2.9830636376645647,1.0,0.1709090909090909,0.3333333333333333,0.03636363636363636,0.05298872147693487,0.01940371054835186,,
2018Q4,HS,RISK,MID,24,0.2916666666666667,-0.4071176594528548,0.7083333333333334,0.17210951915143524,0.16666666666666666,0.03652849679010998,0.04806144286257411,0.019461692969912056,,
2018Q4,HS,RISK,HIGH,36,0.1388888888888889,-0.6387551924387682,0.3055555555555556,0.17321729866633095,0.08333333333333333,0.03672120147593594,0.03587560056438078,0.01951587563347624,,
2018Q4,HS,p2,0_0.01,0,,,,,,,,,,
2018Q4,HS,p2,0.01_0.05,0,,,,,,,,,,
2018Q4,HS,p2,0.05_0.1,0,,,,,,,,,,
2018Q4,HS,p2,0.1_0.2,63,,,,,,,,,0.49206349206349204,0.1726853727674545
2018Q4,HS,p2,0.2_1.000001,0,,,,,,,,,,
2018Q4,HS,p5,0_0.01,0,,,,,,,,,,
2018Q4,HS,p5,0.01_0.05,63,,,,,,,,,0.12698412698412698,0.03663076325694034
2018Q4,HS,p5,0.05_0.1,0,,,,,,,,,,
