period,model,n,hits,n00,n01,n10,n11,LRuc,LRind,LRcc,p_uc,p_ind,p_cc
NONOVERLAP5_0,HS,1017,46,928,42,42,4,0.5023432035690689,1.5603448250214491,2.062688028590518,0.47847234434857056,0.21161473840228726,0.3565274604103492
NONOVERLAP5_0,FHS,1017,54,911,51,52,2,0.20150512361396977,0.29078710804193975,0.4922922316559095,0.6535086867192783,0.5897165739588456,0.7818079820587349
NONOVERLAP5_1,HS,1017,43,935,38,38,5,1.343128875125558,4.261589782656067,5.604718657781625,0.24648293764037665,0.03898342228504066,0.06066676080215315
NONOVERLAP5_1,FHS,1017,58,902,56,57,1,1.0143396546331473,2.3385424906059917,3.352882145239139,0.31386543205016965,0.126207590055815,0.18703844919023202
NONOVERLAP5_2,HS,1017,43,937,36,36,7,1.343128875125558,9.890044749316964,11.233173624442522,0.24648293764037665,0.0016617532827565655,0.003637033827006969
NONOVERLAP5_2,FHS,1017,52,914,50,50,2,0.027183371527939926,0.19812132013851524,0.22530469166645517,0.8690433109019666,0.6562415547446736,0.8934612216454373
NONOVERLAP5_3,HS,1018,39,942,36,36,3,3.1743309039741803,1.2925057618971394,4.46683666587132,0.0748038442060604,0.2555866837082136,0.10716148968117092
NONOVERLAP5_3,FHS,1018,49,921,47,48,1,0.07555307359757535,1.0243468791922243,1.0998999527897997,0.7834167357615224,0.31149013158472866,0.576978672211844
NONOVERLAP5_4,HS,1018,43,937,37,37,6,1.3593566599021756,6.862190289046545,8.22154694894872,0.24364900915166832,0.008803856814656914,0.016395088438330582
NONOVERLAP5_4,FHS,1018,51,918,48,49,2,0.00020667566957399686,0.12136474027826694,0.12157141594784093,0.9885298320070601,0.727559006574311,0.9410248722975932
