model,period,n,origin_share,negative_return_amount_share,VaR_shortfall_amount_share,PINBALL_loss_share,BRIER2_loss_share,BRIER5_loss_share,DD_MSE_loss_share
HS,GFC,756,0.14861411440927855,0.2172720037309532,0.33403359907301877,0.20258047279495706,0.1892526107898341,0.31712850532088366,0.2709882535678681
HS,COVID,93,0.018281895026538236,0.03168970958815429,0.12861314293481843,0.04998727888097139,0.021107485086441315,0.05928342000859565,0.08031354100081943
HS,2022,251,0.0493414586200118,0.10969266574153316,0.17537731319771577,0.0764574840209386,0.09963491253463633,0.17167668345393605,0.103641646423839
HS,SHOCK_UNION,1115,0.21918616080204442,0.3663832591874829,0.6520186198476526,0.3339779153998883,0.3161461993763049,0.5641804285643778,0.46153134605064927
FHS,GFC,756,0.14861411440927855,0.2172720037309532,0.21553070931828835,0.18966360018876716,0.18687241592943524,0.301394905225757,0.2295847854988719
FHS,COVID,93,0.018281895026538236,0.03168970958815429,0.06143056448165501,0.04432429470979019,0.022713501661580354,0.06112391274296577,0.08327045404936545
FHS,2022,251,0.0493414586200118,0.10969266574153316,0.10881109955768072,0.074166541978593,0.09683018588225406,0.17492586576903482,0.10083805183963915
FHS,SHOCK_UNION,1115,0.21918616080204442,0.3663832591874829,0.41644555446049697,0.31668970786512046,0.31310288872580444,0.5550276167645966,0.42234475197702737
