cash_mode,offset,cost_bps,rule,period,Return_Retention,n,cycles,years,CAGR,annual_return,annual_vol,downside_deviation,Sharpe,Sortino,Calmar,MaxDD,recovery_sessions,recovery_censored,longest_completed_recovery,average_exposure,cash_share,beta,annual_turnover,annual_fee_drag,VaR95_5D,ES95_5D,loss2_frequency,loss5_frequency,mean_path_D,actual_5D_proxy_ann,vol_proxy_overshoot,vol_prediction_rmse,ES_budget_predicted_gross_breach,ES_budget_predicted_net_breach,probability_budget_predicted_gross_breach,probability_budget_predicted_net_breach,loss_budget_realized_frequency,VaR_hit,ES_identification,expected_loss2,expected_loss5,path_projection_approx,CAGR_cost_drag
PROXY,0,0,BUYHOLD,ALL,1.0,6270,1254,24.919917864476385,0.10461669869587727,0.11683271071790427,0.18502490534702032,0.13132093602649522,0.5357812062036168,0.7523571214279595,0.18876071371540393,0.5542291965138928,1223,False,1223,1.0,0.0,1.0000000000000004,0.04019138755980861,0.0,0.03486286930024418,0.054851247739095534,0.1339712918660287,0.019138755980861243,0.015896270195267445,0.1916641146454806,0.4393939393939394,0.009511172793757008,0.5358851674641149,0.5358851674641149,0.5486443381180224,0.5486443381180224,0.07655502392344497,0.04146730462519936,0.02724022431323039,0.13599813076127037,0.025818013453343284,0.016881231633986662,0.0
PROXY,0,0,BUYHOLD,DOTCOM,1.0,319,63,1.264887063655031,-0.08781299403683224,-0.0588535726660702,0.25746167114158575,0.17973635723819412,-0.29541420708224825,-0.4217903171499856,-0.26452715479749495,0.33196211596520686,248,True,19,1.0,0.0,1.0000000000000004,0.7899686520376176,0.0,0.035648131537074024,0.05714884242674363,0.25396825396825395,0.031746031746031744,0.026838448772264024,0.24456851441017846,0.9365079365079365,0.008940508422142219,1.0,1.0,1.0,1.0,0.12698412698412698,0.015873015873015872,0.24784754593129082,0.22596961687944803,0.06559398654500861,0.0264285728401502,0.0
PROXY,0,0,BUYHOLD,GFC,1.0,755,150,2.9924709103353866,-0.0543664973956014,-0.013142290191950795,0.29199525128763,0.20766750488088717,-0.11428752404951362,-0.16037886428064485,-0.09809388920245855,0.5542291965138925,560,True,52,1.0,0.0,1.0,0.0,0.0,0.06301738502299947,0.08678043088551848,0.22,0.07333333333333333,0.0268934697701327,0.3031149969787053,0.78,0.013357992898607783,0.8333333333333334,0.8333333333333334,0.8466666666666667,0.8466666666666667,0.16666666666666666,0.04666666666666667,-0.03459310891510397,0.20132282243037378,0.06115637064207424,0.025046702016200118,0.0
PROXY,0,0,BUYHOLD,2011,1.0,251,50,0.9883641341546886,0.015602714282045124,0.038926931795214725,0.2171452492944859,0.15914783036484303,0.17684835517480377,0.24127607692011013,0.07743310876649297,0.2014992621450421,169,True,32,1.0,0.0,0.9999999999999996,0.0,0.0,0.046097446516814244,0.08616023117827112,0.18,0.04,0.022616701064063046,0.22932839283120351,0.66,0.010008694725131356,0.76,0.76,0.8,0.8,0.12,0.04,-0.2815585564518269,0.18291906041745562,0.04518854202129722,0.021206001348079217,0.0
PROXY,0,0,BUYHOLD,2015_2016,1.0,503,99,1.9931553730321698,0.06571333596141869,0.07387520826589467,0.14335324560918722,0.10532054889368837,0.502499957555125,0.6836364918404375,0.49277073098881646,0.133354787183799,189,False,189,1.0,0.0,0.9999999999999999,0.0,0.0,0.03422072014202582,0.041270798778983146,0.1111111111111111,0.0,0.012886187431938359,0.15195821202545806,0.2727272727272727,0.010760112660137322,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.06060606060606061,0.06060606060606061,-0.002699963705499873,0.11536901425491498,0.015247884366524803,0.014417589614515973,0.0
PROXY,0,0,BUYHOLD,2018Q4,1.0,62,12,0.24914442162902123,-0.45584277791904976,-0.5876953797511685,0.23695451429531394,0.19186891948242327,-2.5788420489003054,-3.170698054557896,-2.409075385969864,0.1892189761158234,60,True,2,1.0,0.0,1.0000000000000004,0.0,0.0,0.0625093565493382,0.0625093565493382,0.4166666666666667,0.08333333333333333,0.03265710091180077,0.2362831519379541,0.8333333333333334,0.012212883514835416,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,-0.5775302650590536,0.169979518912965,0.03474858270883605,0.019222482932051848,0.0
PROXY,0,0,BUYHOLD,COVID,1.0,92,17,0.3613963039014374,-0.2315306517562612,-0.16941231055205355,0.42617557009359575,0.3328201389108009,-0.4061220459554274,-0.5197969917296529,-0.7224282730523528,0.32048946641860276,92,True,0,1.0,0.0,0.9999999999999996,0.0,0.0,0.13912314937075332,0.13912314937075332,0.23529411764705882,0.11764705882352941,0.04464645579357254,0.5437018191159887,1.0,0.03420952668262492,1.0,1.0,1.0,1.0,0.23529411764705882,0.11764705882352941,0.16333321546275156,0.2716854837055047,0.13629514570484558,0.04102657573116854,0.0
PROXY,0,0,BUYHOLD,2022,1.0,250,49,0.9883641341546886,-0.1898620894496109,-0.18061734989376335,0.24148505599269499,0.17717317398524485,-0.830625944804993,-1.127716570720121,-0.7222987127457394,0.2628581307141902,249,True,0,1.0,0.0,0.9999999999999998,0.0,0.0,0.07031043685974592,0.07754535814359019,0.3673469387755102,0.061224489795918366,0.027843278575685387,0.23420841638312567,0.9387755102040817,0.00874283909770138,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.2653061224489796,0.10204081632653061,-0.0853217932682668,0.19980559025574812,0.04900658721370214,0.02224916098403192,0.0
PROXY,0,0,BUYHOLD,2023_PLUS,1.0,915,183,3.646817248459959,0.2241779460084067,0.2149911319229841,0.15351704516809897,0.10303824949140804,1.0934594664726596,1.6078707491018884,1.1341458625351752,0.1976623584441758,86,False,92,1.0,0.0,0.9999999999999999,0.0,0.0,0.025035669515763415,0.037168303756585704,0.09289617486338798,0.00546448087431694,0.012307725017052896,0.15024212259015782,0.3442622950819672,0.008483104510284162,0.5409836065573771,0.5409836065573771,0.5245901639344263,0.5245901639344263,0.03825136612021858,0.03825136612021858,0.07656883058232279,0.11955316790155773,0.015539250482890014,0.014447177486778736,0.0
PROXY,0,0,BUYHOLD,2024_PLUS,1.0,665,133,2.650239561943874,0.2153323683413604,0.20870831812700175,0.16007925221519764,0.10876029011016361,1.0230053551529645,1.4886498008165538,1.0893949158366178,0.1976623584441759,86,False,86,1.0,0.0,1.0000000000000002,0.0,0.0,0.025035669515763415,0.039141366816138695,0.08270676691729323,0.007518796992481203,0.012305626996896192,0.15638259608617336,0.3533834586466165,0.00931178094299137,0.5413533834586466,0.5413533834586466,0.5263157894736842,0.5263157894736842,0.03759398496240601,0.03759398496240601,0.008657569499997535,0.1193673469961552,0.016444799261364898,0.014543084343259776,0.0
