cash_mode,offset,cost_bps,period,rule,identity_error,CAGR_link_error,CAGR_gap,matched_target,dynamic_average,static_average,matched_CAGR_gap,Return_Retention,annual_cost,annual_exposure_opportunity,CAGR_exposure_opportunity,annual_dynamic_timing,CAGR_dynamic_timing,annual_cash,CAGR_cash,CAGR_cost,annual_interaction,CAGR_interaction,annual_vol_total_reduction,annual_vol_lower_exposure_effect,annual_vol_dynamic_effect,annual_vol_dynamic_fraction,annual_vol_BH_reduction,ES95_5D_total_reduction,ES95_5D_lower_exposure_effect,ES95_5D_dynamic_effect,ES95_5D_dynamic_fraction,ES95_5D_BH_reduction,MaxDD_total_reduction,MaxDD_lower_exposure_effect,MaxDD_dynamic_effect,MaxDD_dynamic_fraction,MaxDD_BH_reduction
PROXY,0,0,ALL,VOL,4.989498397778291e-16,5.377642775528102e-16,-0.013512347548525816,0.8461631214377121,0.8462354939197128,0.8462354939266753,-0.0016576267890074797,0.870839476709101,0.0,-0.017964724057559577,-0.015062303819097587,-0.006182896193400146,-0.000706463026777868,0.0020591252689334495,0.002256419297350178,0.0,0.0,0.0,0.06346328354536923,0.028714487806133476,0.034748795739235755,0.22230633303852798,0.3429986002497434,0.020149950290434253,0.00847985610585536,0.011670094184578893,0.25166581751265527,0.3673562794100719,0.2361271125551071,0.06499154102885529,0.1711355715262518,0.3498004898183592,0.42604596444999465
PROXY,0,0,DOTCOM,VOL,4.2869353900076845e-16,5.204170427930421e-17,-0.008301448362110636,0.6277348462972441,0.6273176278419275,0.6273176278468114,-0.049973860436317234,,0.0,0.02193368907116852,0.0369855800188285,-0.060506906301983764,-0.05108343575465544,0.006378458623315446,0.005796407373716356,0.0,0.0,0.0,0.11658167992397003,0.09668018738041351,0.019901492543556526,0.12377975422293386,0.45281178905988817,0.026529816056572165,0.021394372724555258,0.005135443332016907,0.14363080685552976,0.46422315711082807,0.10480620519910033,0.11249932372809124,-0.007693118528990905,-0.035054318094517756,0.31571736700848463
PROXY,0,0,GFC,VOL,4.440892098500626e-16,7.632783294297951e-17,0.04302481168380526,0.6726608712415327,0.6725347197582598,0.6725347197629117,0.012603180760142139,,0.0,0.004303643740725436,0.023224402925650808,0.0031848950622929612,0.016432422897394626,0.00347644502581823,0.0033679858607597543,0.0,0.0,0.0,0.1561769709226276,0.09649980816323722,0.05967716275939039,0.30526114473889865,0.5348613384427456,0.050472626601898454,0.028431765501401217,0.022040861100497237,0.377744048735292,0.5816129983092893,0.23612711255510543,0.14752393462874702,0.08860317792635841,0.2178559911314355,0.426045964449992
PROXY,0,0,2011,VOL,3.79362340152678e-16,3.469446951953614e-16,-0.022795107764330302,0.7356049584559514,0.7359363536575545,0.7359363536636947,-0.02395409664786058,-0.4609706588399076,0.0,-0.010279187550768062,-0.0005762375653629406,-0.027434327849512365,-0.022280181948722454,6.052754332275085e-05,6.13117497547455e-05,0.0,0.0,0.0,0.08717978587447059,0.057694796994549824,0.029484988879920765,0.18491630757156896,0.4014814330855564,0.034589258981636166,0.02278206190236856,0.011807197079267605,0.18629754084356143,0.4014527179026335,0.055594981625575746,0.05150652293815039,0.004088458687425356,0.0272577106668207,0.275906626325796
PROXY,0,0,2015_2016,VOL,4.4373684414400483e-16,2.480654570646834e-15,-0.027847140744242535,0.9050308887308347,0.9050044204785912,0.9050044204822026,-0.022416759314768095,0.5762330379849835,0.0,-0.007017818221483322,-0.005493514186768118,-0.022302551210250952,-0.02251759377073324,0.00015591743728562033,0.0001639672132613003,0.0,0.0,0.0,0.020426567865653167,0.013737206739330016,0.006689361126323151,0.05160905382272707,0.14249114332116708,0.005643992016294744,0.003923522913263824,0.0017204691030309194,0.04606678969616951,0.13675509520714446,0.014796900264767654,0.012553022016196791,0.002243878248570863,0.01857487964234361,0.11095889826867267
PROXY,0,0,2018Q4,VOL,3.0184188481996443e-16,3.1780134079895106e-15,0.052466489872645516,0.7238929974773782,0.7235959785623117,0.7235959785564786,-0.0537990930504178,,0.0,0.16244136634357298,0.09895741221667854,-0.0903062704781876,-0.050371188942606636,0.006874459988022081,0.0038802665985767874,0.0,0.0,0.0,0.07025580657918945,0.06552271613327432,0.0047330904459151335,0.02760917459106016,0.29649490657785216,0.024964854463994213,0.01738688545364897,0.007577969010345242,0.16794224310709793,0.39937788264209095,0.04249427547049767,0.05068770029210201,-0.008193424821604345,-0.05914494595451747,0.22457724031064608
PROXY,0,0,COVID,VOL,3.8033812210791496e-16,2.192690473634684e-15,0.09440142817690272,0.42528260079416214,0.4237049918689202,0.42370499187009825,-0.04943853940229491,,0.0,0.09763146888709885,0.13868201976765576,-0.06207972335205364,-0.04579247157587082,0.0018189320818973937,0.0015118799851155927,0.0,0.0,0.0,0.25864680203646284,0.24788487678870333,0.010761925247759513,0.060361677035804084,0.6069019910729735,0.10657795315950513,0.08002483083630252,0.026553122323202616,0.4493041931087045,0.7660691527006944,0.19219430269017013,0.17331507508270716,0.018879227607462967,0.1282779390904697,0.5996899206638457
PROXY,0,0,2022,VOL,4.917941054394248e-16,4.163336342344337e-17,0.04253444827833702,0.6314042069207062,0.6311953878531206,0.6311953878481938,-0.035559751764668385,,0.0,0.06661251167456742,0.07012513934949521,-0.04068414152894128,-0.03389496207868027,0.007556182917380541,0.006304271007522038,0.0,0.0,0.0,0.08893090456594685,0.0891816690106749,-0.0002507644447280466,-0.0016464797644826223,0.36826669957016733,0.03472426180706085,0.028672868491203866,0.006051393315856982,0.12382003370195627,0.44779291292667933,0.07301209992505964,0.09590894655508331,-0.02289684663002367,-0.13714859851128347,0.27776237975475393
PROXY,0,0,2023_PLUS,VOL,4.440892098500626e-16,1.6653345369377348e-16,-0.044795477948707696,0.9052712504417286,0.9053685440996764,0.9053685440962636,-0.027766992975005622,0.8001789259545279,0.0,-0.020344923819530545,-0.02198887497919952,-0.02585806697971216,-0.027953555898552963,0.004308149381916419,0.005146952929044619,0.0,0.0,0.0,0.03246857939407724,0.0146652002150027,0.01780337917907454,0.12821852806556855,0.21149820437544642,0.0034610011056291565,0.0036101841221856112,-0.00014918301655645477,-0.004445511792130485,0.09311700443192583,0.05344769187181653,0.017839512205859664,0.03560817966595686,0.1980181073252837,0.2703989383335792
PROXY,0,0,2024_PLUS,VOL,4.440892098500626e-16,1.1796119636642288e-16,-0.04886339612053467,0.8987465834870818,0.8988556842799535,0.8988556842871134,-0.031418092756893834,0.7730791868546539,0.0,-0.0211096600220374,-0.022377980487499873,-0.030083469583996998,-0.031837772251584934,0.004519638930749948,0.005352356618550254,0.0,0.0,0.0,0.03893734760725502,0.016378990822645406,0.022558356784609615,0.15698201635824427,0.24323794038537105,0.0041475757809890865,0.004053792279262551,9.378350172653538e-05,0.002672840826543066,0.10596399968533965,0.05344769187181664,0.019078724968123573,0.034368966903693066,0.1924530609816597,0.27039893833357964
PROXY,0,0,EX_MAJOR_SHOCKS,VOL,4.989498397778291e-16,6.938893903907228e-16,-0.028823451619412868,0.889471257578407,0.8895639084504521,0.8895639084440919,-0.014095159920189601,0.8113738316107831,0.0,-0.016999451059427084,-0.016810299916818018,-0.014656931645688404,-0.013811104213681,0.0015826437384785029,0.0017979525110868467,0.0,0.0,0.0,0.035167373817745956,0.016868017435387767,0.01829935638235819,0.13566325843114124,0.23173615122159563,0.008990447710896778,0.004712842848127868,0.004277604862768909,0.11359212551649922,0.21218686361391081,0.09520538328048811,0.032119196503720526,0.06308618677676758,0.21039745374034335,0.28679592851633295
PROXY,0,0,ALL,CORE_VOL,5.427109499647753e-16,5.663872149064275e-16,-0.00593959833404048,0.92307962851919,0.9231177504614115,0.9231177504631621,-8.671244621916152e-05,0.9432251408419319,0.0,-0.008982361619683608,-0.007265512836643721,-0.0033657665656076255,0.00019409520878809055,0.0010293277145092391,0.0011318192938157175,0.0,0.0,0.0,0.03521016721527573,0.014371049850136541,0.020839117365139187,0.12211336980616716,0.1902996093917081,0.011194058691282899,0.0042400345603873235,0.006954024130895575,0.13740085831060622,0.2040802926585802,0.10956863002565276,0.03157735352076774,0.07799127650488502,0.14922223570138815,0.19769552148252123
PROXY,0,0,DOTCOM,CORE_VOL,3.5995512126518747e-16,7.962380754733545e-16,-0.003179555921483543,0.8139632371967309,0.8136822745510349,0.8136822745496397,-0.02433563158871141,,0.0,0.01096546379368756,0.019860837146586978,-0.031265131421279194,-0.02594567209340771,0.003188215046931688,0.0029052790253363946,0.0,0.0,0.0,0.06043189584471512,0.04845240210729615,0.011979493737418967,0.05731560993811058,0.2347219124957899,0.014389489075588839,0.01069167985317488,0.0036978092224139586,0.07959610569324316,0.25178968574969895,0.05183593310796508,0.054546318583845066,-0.002710385475879984,-0.009770119443320846,0.15615014670348115
PROXY,0,0,GFC,CORE_VOL,3.9768535686768303e-16,2.671474153004283e-16,0.024153825067242524,0.8362847152675386,0.8361927424436264,0.8361927424475702,0.008263322318429734,,0.0,0.0021528025143534805,0.013489903572155501,0.00018022663942962605,0.008995582433565732,0.0017388423028050675,0.0016683390615215548,0.0,0.0,0.0,0.08429356483243058,0.04840036970043235,0.035893195131998235,0.14734790360999372,0.28868128663297055,0.028546720426214332,0.014219853893309,0.014326866532905332,0.19744697639936826,0.328953430340458,0.10956863002565242,0.06942014379328165,0.04014848623237077,0.08281298793219483,0.19769552148252068
PROXY,0,0,2011,CORE_VOL,3.881443777498106e-16,3.122502256758253e-16,-0.009982069088988577,0.8678888837384875,0.8680787558024884,0.8680787558006435,-0.011033877849328598,0.36023509060372416,0.0,-0.005135289275216384,0.00041035003486940524,-0.013693170574086776,-0.010423247255209267,3.023800862871819e-05,3.0828131350974046e-05,0.0,0.0,0.0,0.046377396097535994,0.028857485936493177,0.017519910161042818,0.09304858610345323,0.2135777607302859,0.017812210801338157,0.011383585755179046,0.006428625046159112,0.0859710275820138,0.2067335539581311,0.02800880001990025,0.025564065345830222,0.002444734674070026,0.013895654300828175,0.13900199793158108
