period,model,n,first,last,PINBALL,FZ0,BRIER2,BRIER5,DD_MSE,DD_MAE,var_hit_rate,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,auc2,auc5,actual_D,pred_D,fallback_fraction,max_impossible_mass,q_below_minus1,e_below_minus1,asset
ALL,HS,6616,2000-05-01,2026-08-20,0.0030220804669822,-2.8321514392160805,0.1194320542711408,0.0236456384983181,0.0003310110128837,0.0129052045736238,0.0441354292623941,-0.0013378587768487,0.1383010882708585,0.1583008059774905,0.0241837968561064,0.026430858820771,0.5205266452151526,0.439666105173482,0.01633044273916,0.0183516558307672,0.0,0.0,0,0,SPY
ALL,FHS,6616,2000-05-01,2026-08-20,0.0026329262374897,-3.0563279151074894,0.1141255578165911,0.0222416270585152,0.0002503921161135,0.0108754408408268,0.0491233373639661,-0.0327144728689154,0.1383010882708585,0.1386005599908913,0.0241837968561064,0.0264797878849323,0.6660731556059094,0.8186285044919455,0.01633044273916,0.0171179294420281,0.0,0.0,0,0,SPY
ALL,HS,5087,2006-06-01,2026-08-20,0.00348990109988,-2.7076175947077163,0.1418961980327167,0.0342415663180675,0.0004142621096149,0.0148882226424915,0.0420680165126793,0.0478555481891905,0.1702378612148614,0.1888087427687648,0.0353843129545901,0.0432266219828622,0.4838121063001281,0.4768912890881507,0.0193966063983361,0.0212480577407072,0.0,0.0,0,0,QQQ
ALL,FHS,5087,2006-06-01,2026-08-20,0.0031384529007589,-2.873917468563997,0.1368043369320576,0.0326821203064573,0.0003344203837024,0.0129933109238707,0.0518969923333988,-0.0522838867878714,0.1702378612148614,0.1667236288523625,0.0353843129545901,0.0366412804388342,0.633556620285792,0.7581969069130268,0.0193966063983361,0.0194716332597846,0.0,0.0,0,0,QQQ
